,city_mpg,class,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year
0,18,2,21,4.0,2.2,1,1,26,6,3,0,1993
1,19,2,22,4.0,2.2,1,1,27,6,3,1,1993
2,16,2,19,6.0,3.0,1,1,22,6,3,0,1993
3,16,2,18,6.0,3.0,1,1,22,6,3,1,1993
4,18,3,21,4.0,2.2,1,1,26,6,3,0,1993
5,23,0,24,4.0,1.6,1,1,26,6,5,0,1993
6,23,0,26,4.0,1.6,1,1,31,6,5,1,1993
7,23,0,25,4.0,1.8,1,1,30,6,5,0,1993
8,23,0,26,4.0,1.8,1,1,30,6,5,1,1993
9,23,5,25,4.0,1.8,1,1,30,6,5,0,1993
10,21,6,23,4.0,2.0,1,1,26,6,10,0,1996
11,21,6,24,4.0,2.0,1,1,27,6,10,1,1996
12,19,6,21,4.0,2.0,0,1,24,6,10,0,1996
13,19,6,21,4.0,2.0,0,1,24,6,10,1,1996
14,21,6,23,4.0,2.0,1,1,26,6,10,0,1997
15,88,1,89,5.381818181818182,2.9472727272727277,2,0,90,5,8,0,2012
16,94,1,95,5.381818181818182,2.9472727272727277,2,0,97,5,8,0,2013
17,88,1,89,5.381818181818182,2.9472727272727277,2,0,90,5,8,0,2013
18,93,1,94,5.381818181818182,2.9472727272727277,2,0,96,5,8,0,2013
19,88,1,89,5.381818181818182,2.9472727272727277,2,0,90,5,8,0,2014
20,131,2,126,5.381818181818182,2.9472727272727277,2,0,120,5,7,0,2017
21,136,2,130,5.381818181818182,2.9472727272727277,2,0,123,5,7,0,2018
22,120,2,116,5.381818181818182,2.9472727272727277,0,0,112,5,7,0,2018
23,120,2,116,5.381818181818182,2.9472727272727277,0,0,112,5,7,0,2018
24,128,2,123,5.381818181818182,2.9472727272727277,2,0,117,5,7,0,2018
25,90,9,92,5.381818181818182,2.9472727272727277,0,0,94,5,9,0,2016
26,89,9,89,5.381818181818182,2.9472727272727277,0,0,90,5,9,0,2016
27,91,9,93,5.381818181818182,2.9472727272727277,0,0,95,5,9,0,2016
28,91,9,93,5.381818181818182,2.9472727272727277,0,0,94,5,9,0,2016
29,81,9,86,5.381818181818182,2.9472727272727277,0,0,92,5,9,0,2016
30,14,8,15,6.0,3.9,2,1,17,1,11,0,1994
31,15,8,17,6.0,3.9,2,1,19,1,11,1,1994
32,12,8,13,8.0,5.2,2,1,16,1,11,0,1994
33,12,8,14,8.0,5.2,2,1,17,1,11,1,1994
34,11,8,12,8.0,5.9,2,1,15,1,11,0,1994
35,19,0,21,4.0,2.4,1,1,26,3,2,0,1994
36,21,0,24,4.0,2.4,1,1,28,3,2,1,1994
37,18,0,21,4.0,2.4,1,1,26,3,2,0,1995
38,21,0,24,4.0,2.4,1,1,28,3,2,1,1995
39,18,0,21,4.0,2.4,1,1,26,3,2,0,1996
40,22,7,24,4.0,2.5,1,1,27,3,12,0,2008
41,21,7,23,4.0,2.5,0,1,26,3,12,0,2008
42,22,7,24,4.0,2.5,1,1,27,3,12,0,2009
43,21,7,23,4.0,2.5,0,1,26,3,12,0,2009
44,22,7,24,4.0,2.5,1,1,27,3,12,0,2010
45,106,2,99,5.381818181818182,2.9472727272727277,1,0,92,3,6,0,2011
46,106,2,99,5.381818181818182,2.9472727272727277,1,0,92,3,6,0,2012
47,129,2,115,5.381818181818182,2.9472727272727277,1,0,102,3,6,0,2013
48,126,2,114,5.381818181818182,2.9472727272727277,1,0,101,3,6,0,2014
49,126,2,114,5.381818181818182,2.9472727272727277,1,0,101,3,6,0,2015
50,18,10,20,6.0,2.7,2,1,25,0,0,0,1986
51,19,10,21,6.0,2.7,2,1,26,0,0,1,1986
52,21,10,23,4.0,1.8,1,1,24,0,0,0,1984
53,21,10,24,4.0,1.8,1,1,27,0,0,1,1984
54,18,10,20,6.0,2.7,1,1,25,0,0,0,1984
55,12,7,14,8.0,4.4,2,1,16,0,14,0,2000
56,14,7,16,6.0,3.0,0,1,19,0,14,1,2001
57,14,7,16,6.0,3.0,0,1,19,0,14,1,2001
58,14,7,16,6.0,3.0,0,1,19,0,14,0,2001
59,14,7,16,6.0,3.0,0,1,19,0,14,0,2001
60,18,2,21,6.0,3.0,1,1,26,2,15,0,1996
61,19,2,21,6.0,3.0,1,1,24,2,15,1,1996
62,18,2,21,6.0,3.0,1,1,26,2,15,0,1997
63,19,2,21,6.0,3.0,1,1,24,2,15,1,1997
64,18,2,21,6.0,3.0,1,1,25,2,15,0,1998
65,15,11,17,6.0,3.6,2,1,22,4,1,0,1994
66,15,11,18,6.0,3.6,2,1,23,4,1,1,1994
67,14,11,16,6.0,3.6,0,1,21,4,1,1,1994
68,15,4,17,6.0,3.6,2,1,22,4,1,0,1994
69,14,4,16,6.0,3.6,0,1,21,4,1,1,1994
70,12,6,14,8.0,4.5,0,1,17,4,4,0,2003
71,12,6,14,8.0,4.5,0,1,17,4,4,0,2003
72,14,7,15,6.0,3.2,0,1,18,4,4,0,2004
73,12,7,14,8.0,4.5,0,1,17,4,4,0,2004
74,12,7,14,8.0,4.5,0,1,17,4,4,0,2004
75,68,1,69,5.381818181818182,2.9472727272727277,0,0,71,4,13,0,2020
76,67,1,68,5.381818181818182,2.9472727272727277,0,0,68,4,13,0,2020
77,68,1,69,5.381818181818182,2.9472727272727277,0,0,71,4,13,0,2020
78,79,1,79,5.381818181818182,2.9472727272727277,0,0,80,4,13,0,2021
79,75,1,77,5.381818181818182,2.9472727272727277,0,0,81,4,13,0,2021
