Alaska,572881
Alabama,700267
Arkansas,274497
American Samoa,8319
Arizona,762493
California,2704379
Colorado,891041
Connecticut,173462
District of Columbia,21490
Delaware,153349
Florida,2813579
Georgia,1097630
Guam,60987
Hawaii,670805
Iowa,689631
Idaho,343253
Illinois,446730
Indiana,779114
Kansas,725612
Kentucky,381002
Louisiana,332654
Massachusetts,248941
Maryland,335787
Maine,1533997
Michigan,1336194
Minnesota,541152
Missouri,360695
Mississippi,331171
Montana,318472
North Carolina,208092
North Dakota,68786
Nebraska,257201
New Hampshire,112815
New Jersey,275926
New Mexico,185113
Nevada,241354
New York,1713591
Ohio,1281171
Oklahoma,410932
Oregon,789403
Pennsylvania,314478
Puerto Rico,120220
Rhode Island,83658
South Carolina,187870
South Dakota,74081
Tennessee,445725
Texas,3192107
Utah,714797
Virginia,680970
Virgin Islands,14796
Vermont,187729
Washington,1426237
Wisconsin,489303
West Virginia,137932
Wyoming,181655
